date,value
2013-04-28,135.98
2013-04-29,147.49
2013-04-30,146.93
2013-05-01,139.89
2013-05-02,125.6
2013-05-03,108.13
2013-05-04,115
2013-05-05,118.8
2013-05-06,124.66
2013-05-07,113.44
2013-05-08,115.78
2013-05-09,113.46
2013-05-10,122
2013-05-11,118.68
2013-05-12,117.45
2013-05-13,118.7
2013-05-14,119.8
2013-05-15,115.81
2013-05-16,118.76
2013-05-17,125.3
2013-05-18,125.25
2013-05-19,124.5
2013-05-20,123.62
2013-05-21,123
2013-05-22,124
2013-05-23,126.93
2013-05-24,133.85
2013-05-25,133.22
2013-05-26,136
2013-05-27,135.47
2013-05-28,130.58
2013-05-29,132.59
2013-05-30,132.25
2013-05-31,129.9
2013-06-01,129.78
2013-06-02,129.4
2013-06-03,122.5
2013-06-04,123.84
2013-06-05,123.47
2013-06-06,123.1
2013-06-07,119
2013-06-08,111.42
2013-06-09,108.99
2013-06-10,110.1
2013-06-11,109.6
2013-06-12,111.79
2013-06-13,110.3
2013-06-14,104.7
2013-06-15,103.7
2013-06-16,101.6
2013-06-17,102.21
2013-06-18,111.11
2013-06-19,110.22
2013-06-20,114.3
2013-06-21,114.99
2013-06-22,109.96
2013-06-23,108.8
2013-06-24,108.33
2013-06-25,106.47
2013-06-26,105.49
2013-06-27,104
2013-06-28,101.74
2013-06-29,99.99
2013-06-30,98.12
2013-07-01,97.66
2013-07-02,92.3
2013-07-03,90.98
2013-07-04,83.11
2013-07-05,80
2013-07-06,75
2013-07-07,74.56
2013-07-08,80
2013-07-09,78.3
2013-07-10,87
2013-07-11,90.28
2013-07-12,104
2013-07-13,98.25
2013-07-14,98.7
2013-07-15,101.9
2013-07-16,99.86
2013-07-17,99.97
2013-07-18,98.8
2013-07-19,95.2
2013-07-20,93.1
2013-07-21,91.95
2013-07-22,92
2013-07-23,96.82
2013-07-24,95.99
2013-07-25,97.33
2013-07-26,97.47
2013-07-27,97
2013-07-28,100.58
2013-07-29,102.5
2013-07-30,107.99
2013-07-31,111.34
2013-08-01,108
2013-08-02,108
2013-08-03,105.78
2013-08-04,105.95
2013-08-05,107.77
2013-08-06,107.38
2013-08-07,106.75
2013-08-08,106.75
2013-08-09,105.75
2013-08-10,103.9
2013-08-11,105.19
2013-08-12,108
2013-08-13,109.35
2013-08-14,115
2013-08-15,113.25
2013-08-16,112.3
2013-08-17,113.75
2013-08-18,114.69
2013-08-19,123.06
2013-08-20,123.01
2013-08-21,124.91
2013-08-22,123.5
2013-08-23,122
2013-08-24,121.39
2013-08-25,122.99
2013-08-26,122.75
2013-08-27,127.24
2013-08-28,127.32
2013-08-29,123.7
2013-08-30,135.75
2013-08-31,140.89
2013-09-01,145.81
2013-09-02,146.5
2013-09-03,138.34
2013-09-04,144.5
2013-09-05,131.44
2013-09-06,127.34
2013-09-07,125.94
2013-09-08,124.72
2013-09-09,129.06
2013-09-10,129.74
2013-09-11,137.83
2013-09-12,136.08
2013-09-13,137.58
2013-09-14,135.85
2013-09-15,131.44
2013-09-16,132.72
2013-09-17,132.76
2013-09-18,133.2
2013-09-19,131.77
2013-09-20,135.62
2013-09-21,128.61
2013-09-22,133.94
2013-09-23,132.72
2013-09-24,127.46
2013-09-25,129.69
2013-09-26,134.93
2013-09-27,134.74
2013-09-28,135.63
2013-09-29,140.61
2013-09-30,138.35
2013-10-01,134.63
2013-10-02,133.59
2013-10-03,123.63
2013-10-04,130.09
2013-10-05,130.44
2013-10-06,129.66
2013-10-07,130.27
2013-10-08,127.47
2013-10-09,131.75
2013-10-10,131.5
2013-10-11,131.81
2013-10-12,135.66
2013-10-13,138.66
2013-10-14,144.12
2013-10-15,145.39
2013-10-16,152.23
2013-10-17,147.42
2013-10-18,155.96
2013-10-19,177.48
2013-10-20,174.91
2013-10-21,184.82
2013-10-22,196.27
2013-10-23,213.62
2013-10-24,217.42
2013-10-25,198.87
2013-10-26,188.41
2013-10-27,196.44
2013-10-28,198.62
2013-10-29,204.79
2013-10-30,209.16
2013-10-31,205.18
2013-11-01,206.65
2013-11-02,207.76
2013-11-03,215.05
2013-11-04,231.01
2013-11-05,250.66
2013-11-06,263
2013-11-07,304.17
2013-11-08,338.66
2013-11-09,370.82
2013-11-10,350.7
2013-11-11,351.27
2013-11-12,362.81
2013-11-13,414.05
2013-11-14,425.9
2013-11-15,437.89
2013-11-16,450.26
2013-11-17,500.58
2013-11-18,703.78
